epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3233.3,0.82343,0.53412,1.08024,0.95101,0.93918,0.96609,0.78034,0.78234,0.42449,1.12142,0.005842,0.005842,0.005842
44,3307.21,0.80148,0.52039,1.07644,0.9488,0.91149,0.95524,0.7583,0.80183,0.46626,1.152,0.005743,0.005743,0.005743
45,3381.05,0.80242,0.51502,1.06921,0.9632,0.90275,0.9604,0.76155,0.7896,0.45071,1.13726,0.005644,0.005644,0.005644
46,3455.29,0.8048,0.56259,1.06386,0.94242,0.88986,0.95333,0.75442,0.81392,0.50546,1.14739,0.005545,0.005545,0.005545
47,3529.06,0.7904,0.50148,1.06521,0.93514,0.93255,0.96291,0.76904,0.77713,0.44111,1.11805,0.005446,0.005446,0.005446
48,3604.83,0.79714,0.50285,1.06613,0.95683,0.91694,0.9656,0.76896,0.78787,0.43587,1.14226,0.005347,0.005347,0.005347
49,3679.46,0.79793,0.4984,1.06268,0.95609,0.92436,0.96538,0.77384,0.79177,0.4337,1.14699,0.005248,0.005248,0.005248
50,3752.93,0.79088,0.50102,1.06299,0.94267,0.9289,0.96184,0.76806,0.80612,0.44471,1.13364,0.005149,0.005149,0.005149
51,3827.18,0.78961,0.51408,1.06274,0.94391,0.92105,0.95791,0.77422,0.78542,0.4432,1.12164,0.00505,0.00505,0.00505
52,3901.7,0.78522,0.50002,1.06191,0.94843,0.92585,0.96429,0.77769,0.77266,0.43834,1.11715,0.004951,0.004951,0.004951
53,3978.31,0.78636,0.48596,1.05899,0.94035,0.93959,0.96813,0.78518,0.76135,0.41904,1.10156,0.004852,0.004852,0.004852
54,4053.51,0.77791,0.52949,1.05999,0.94266,0.9034,0.96371,0.77613,0.78018,0.45046,1.12487,0.004753,0.004753,0.004753
55,4127.49,0.78319,0.4855,1.05448,0.95479,0.92613,0.96081,0.77564,0.78241,0.42058,1.12241,0.004654,0.004654,0.004654
56,4200.92,0.77805,0.48943,1.05342,0.94673,0.91738,0.95927,0.77855,0.77741,0.4267,1.11698,0.004555,0.004555,0.004555
57,4275.19,0.77103,0.47969,1.05261,0.95268,0.92224,0.96371,0.78259,0.78425,0.42318,1.11712,0.004456,0.004456,0.004456
58,4348.68,0.75967,0.47146,1.04736,0.94282,0.93219,0.96147,0.78059,0.77429,0.41752,1.12231,0.004357,0.004357,0.004357
59,4422.75,0.77468,0.47463,1.05387,0.95259,0.92615,0.9631,0.77924,0.78499,0.4161,1.12313,0.004258,0.004258,0.004258
60,4497.85,0.76496,0.46846,1.05062,0.94597,0.93648,0.9661,0.7845,0.77121,0.41514,1.10929,0.004159,0.004159,0.004159
61,4575.99,0.75704,0.472,1.04323,0.94963,0.9154,0.96266,0.78626,0.75297,0.4178,1.09718,0.00406,0.00406,0.00406
62,4653.75,0.75835,0.46196,1.04176,0.9585,0.92189,0.9625,0.78456,0.77173,0.40985,1.10693,0.003961,0.003961,0.003961
63,4728.64,0.7549,0.45012,1.04544,0.96689,0.92071,0.96361,0.78089,0.7716,0.40135,1.11329,0.003862,0.003862,0.003862
64,4805.37,0.76215,0.45305,1.04662,0.96379,0.91844,0.96528,0.78295,0.76779,0.40739,1.10998,0.003763,0.003763,0.003763
65,4881.29,0.74833,0.45564,1.04211,0.9658,0.92627,0.9655,0.78859,0.74876,0.39076,1.10984,0.003664,0.003664,0.003664
66,4962.08,0.7557,0.45664,1.04449,0.96344,0.92252,0.96519,0.79072,0.75128,0.40592,1.11078,0.003565,0.003565,0.003565
67,5058.05,0.75018,0.44195,1.03957,0.95901,0.92642,0.96414,0.79036,0.75867,0.40149,1.11694,0.003466,0.003466,0.003466
68,5139.03,0.74745,0.44394,1.03899,0.95395,0.92675,0.96497,0.79083,0.73919,0.3957,1.09411,0.003367,0.003367,0.003367
69,5214.41,0.74458,0.44012,1.0394,0.96097,0.92588,0.96508,0.79898,0.7399,0.39088,1.09646,0.003268,0.003268,0.003268
70,5289.65,0.73294,0.44175,1.03756,0.9514,0.92281,0.96408,0.79615,0.74251,0.40287,1.09435,0.003169,0.003169,0.003169
71,5365.31,0.73546,0.44028,1.0371,0.96527,0.91958,0.96579,0.79226,0.75135,0.38963,1.09937,0.00307,0.00307,0.00307
72,5439.98,0.74056,0.44481,1.03474,0.94681,0.93321,0.9638,0.78836,0.75092,0.3954,1.1011,0.002971,0.002971,0.002971
73,5516.12,0.72624,0.42249,1.034,0.96803,0.91714,0.96729,0.79658,0.74736,0.3934,1.10125,0.002872,0.002872,0.002872
74,5591.75,0.72215,0.43109,1.02591,0.96693,0.91754,0.96661,0.7963,0.74554,0.3948,1.09505,0.002773,0.002773,0.002773
75,5667.85,0.74637,0.43355,1.05979,0.9642,0.92652,0.97066,0.80003,0.73183,0.39513,1.09031,0.002674,0.002674,0.002674
76,5750.94,0.72159,0.41667,1.03239,0.96336,0.92457,0.9676,0.79781,0.73958,0.37631,1.09705,0.002575,0.002575,0.002575
77,5837.22,0.7376,0.42863,1.03405,0.9548,0.93153,0.96839,0.79713,0.74795,0.38263,1.09282,0.002476,0.002476,0.002476
78,5911.06,0.72092,0.45022,1.02367,0.96544,0.92267,0.96503,0.78992,0.75488,0.38245,1.10608,0.002377,0.002377,0.002377
79,5985.65,0.71683,0.41991,1.02985,0.96357,0.9312,0.96558,0.79956,0.74124,0.37363,1.09398,0.002278,0.002278,0.002278
80,6063.51,0.72544,0.41178,1.02423,0.95381,0.93557,0.96434,0.80058,0.754,0.37875,1.10379,0.002179,0.002179,0.002179
